millis,distance_cm
100,19.17
200,19.17
300,19.17
400,19.17
500,19.17
600,19.17
700,18.21
800,18.21
900,19.17
1000,19.16
1100,19.17
1200,19.17
1300,19.17
1400,19.17
1500,19.16
1600,19.17
1700,19.16
1800,19.17
1900,18.21
2000,19.17
2100,19.17
2200,19.17
2300,19.16
2400,19.17
2500,19.17
2600,19.17
2700,19.17
2800,19.17
2900,19.17
3000,19.17
3100,19.17
3200,19.17
3300,19.17
3400,19.17
3500,19.17
3600,19.17
3700,19.17
3800,19.17
3900,19.17
4000,19.17
4100,19.17
4200,19.17
4300,19.17
4400,19.17
4500,19.17
4600,19.17
4700,19.17
4800,19.17
4900,19.17
5000,19.17
5100,19.17
5200,19.17
5300,19.17
5400,19.17
5500,19.17
5600,19.17
5700,19.17
5800,19.17
5900,19.17
6000,19.17
6100,19.17
6200,19.17
6300,19.19
6400,19.17
6500,19.17
6600,19.17
6700,18.21
6800,19.17
6900,19.17
7000,18.21
7100,19.17
7200,19.17
7300,19.17
7400,19.17
7500,19.17
7600,19.17
7700,19.17
7800,19.17
7900,18.21
8000,19.17
8100,19.16
8200,19.17
8300,19.17
8400,19.17
8500,19.17
8600,19.17
8700,18.20
8800,19.17
8900,19.17
9000,18.21
9100,19.17
9200,19.17
9300,18.21
9400,19.17
9500,19.17
9600,19.17
9700,19.17
9800,18.21
9900,19.17
10000,19.17
10100,19.17
10200,19.17
10300,19.17
10400,18.21
10500,19.17
