millis,distance_cm
100,19.17
200,19.17
300,19.17
400,19.17
500,19.17
600,19.19
700,19.17
800,19.19
900,19.17
1000,19.17
1100,19.17
1200,19.19
1300,19.17
1400,19.17
1500,19.17
1600,19.19
1700,19.17
1800,19.19
1900,19.17
2000,19.17
2100,19.17
2200,19.17
2300,19.17
2400,19.17
2500,19.17
2600,19.17
2700,19.17
2800,19.17
2900,19.19
3000,19.17
3100,19.17
3200,19.17
3300,19.17
3400,19.19
3500,19.17
3600,19.17
3700,19.19
3800,19.17
3900,19.17
4000,19.19
4100,19.19
4200,19.17
4300,19.17
4400,19.17
4500,19.19
4600,19.19
4700,19.17
4800,19.17
4900,19.17
5000,19.17
5100,19.17
5200,19.17
5300,19.17
5400,19.17
5500,19.17
5600,19.17
5700,19.17
5800,19.17
5900,19.17
6000,19.17
6100,19.17
6200,19.17
6300,19.17
6400,19.17
6500,19.17
6600,19.17
6700,19.19
6800,19.17
6900,19.17
7000,19.17
7100,19.19
7200,19.17
7300,19.17
7400,19.17
7500,19.17
7600,19.17
7700,19.17
7800,19.17
7900,19.17
8000,19.19
8100,19.17
8200,19.19
8300,19.19
8400,19.17
8500,19.17
8600,19.17
8700,19.17
8800,19.17
8900,19.17
9000,19.17
9100,19.17
9200,19.17
9300,19.17
9400,19.19
9500,19.19
9600,19.17
9700,19.17
9800,19.17
9900,19.17
10000,19.17
10100,19.17
10200,19.17
10300,19.17
10400,19.17
10500,19.17
10600,19.17
10700,19.17
10800,19.17
10900,19.17
11000,19.17
11100,19.17
11200,19.17
11300,19.17
11400,19.17
11500,19.17
11600,19.17
11700,19.17
11800,19.17
11900,19.17
12000,19.17
12100,19.17
12200,19.17
12300,19.17
12400,19.17
12500,19.17
12600,19.19
12700,19.17
12800,19.17
12900,19.19
13000,19.17
13100,19.17
13200,19.17
13300,19.17
13400,19.17
13500,19.17
13600,19.17
13700,19.17
13800,19.17
13900,19.17
14000,19.17
14100,19.17
14200,19.17
14300,19.17
14400,19.17
14500,19.17
14600,19.17
14700,19.17
14800,19.17
14900,19.17
15000,19.17
15100,19.17
15200,19.17
15300,19.17
15400,19.17
15500,19.17
15600,19.17
15700,19.17
15800,19.17
15900,19.17
16000,19.17
16100,19.17
16200,19.16
16300,19.17
16400,19.19
16500,19.17
16600,19.17
16700,19.17
16800,19.17
16900,19.17
17000,19.19
17100,19.17
17200,19.17
17300,19.17
17400,19.17
17500,19.19
17600,19.17
17700,19.17
17800,19.17
17900,19.17
18000,19.17
18100,19.17
18200,19.17
18300,19.17
18400,19.17
18500,19.17
18600,19.17
18700,19.17
18800,19.19
18900,19.17
19000,19.17
19100,19.17
19200,19.17
19300,19.17
19400,19.17
19500,19.17
19600,19.17
19700,19.17
19800,19.17
19900,19.17
20000,19.17
20100,19.17
20200,19.17
20300,19.17
20400,19.16
20500,19.17
20600,19.17
20700,19.17
20800,19.17
20900,19.17
21000,19.17
21100,19.17
21200,19.17
21300,19.17
21400,19.17
21500,19.17
21600,19.17
21700,19.17
21800,19.17
21900,19.17
22000,19.17
22100,19.17
22200,19.17
22300,19.17
22400,19.17
22500,19.17
22600,19.17
22700,19.17
22800,19.17
22900,19.17
23000,19.17
23100,19.17
23200,19.17
23300,19.17
23400,19.17
23500,19.17
23600,19.19
23700,19.17
23800,19.17
23900,19.17
24000,19.17
24100,19.17
24200,19.17
24300,19.17
24400,19.17
24500,19.17
24600,19.17
24700,19.17
24800,19.19
24900,19.17
25000,19.17
25100,19.17
25200,19.17
25300,19.17
25400,19.17
25500,19.17
25600,19.17
25700,19.17
25800,19.17
25900,19.17
26000,19.17
26100,19.19
26200,19.17
26300,19.17
26400,19.17
26500,19.17
26600,19.19
26700,19.17
26800,19.17
26900,19.17
27000,19.17
27100,19.17
27200,19.17
27300,19.17
27400,19.17
27500,19.17
27600,19.19
27700,19.17
27800,19.17
27900,19.17
28000,19.19
28100,19.17
28200,19.17
28300,19.17
28400,19.17
28500,19.17
28600,19.17
28700,19.17
28800,19.17
28900,19.17
29000,19.17
29100,19.17
29200,19.17
29300,19.17
29400,19.17
29500,19.17
29600,19.19
29700,19.19
29800,19.17
29900,19.17
30000,19.17
30100,19.17
30200,19.19
30300,19.17
30400,19.17
30500,19.17
30600,19.17
30700,19.17
30800,19.17
30900,19.19
31000,19.17
31100,19.17
31200,19.17
31300,19.17
31400,19.17
31500,19.17
31600,19.17
31700,19.17
31800,19.17
31900,19.17
32000,19.17
32100,19.17
32200,19.17
32300,19.17
32400,19.19
32500,19.17
32600,19.17
32700,19.17
32800,19.19
32900,19.17
33000,19.17
33100,19.17
33200,19.17
33300,19.17
33400,19.17
33500,19.17
33600,19.17
33700,19.17
33800,19.17
33900,19.17
34000,19.17
34100,19.17
34200,19.17
34300,19.17
34400,19.17
34500,19.17
34600,19.17
34700,19.17
34800,19.19
34900,19.17
35000,19.17
35100,19.17
35200,19.17
35300,19.17
35400,19.19
35500,19.17
35600,19.17
35700,19.17
35800,19.17
35900,19.17
36000,19.17
36100,19.17
36200,19.17
36300,19.17
36400,19.19
36500,19.17
36600,19.17
36700,19.16
36800,19.17
36900,19.17
37000,19.17
37100,19.17
37200,19.17
37300,19.17
37400,19.17
37500,19.17
37600,19.17
37700,19.17
37800,19.17
37900,19.17
38000,19.17
38100,19.17
38200,19.17
38300,19.17
38400,19.17
38500,19.17
38600,19.17
38700,19.17
38800,19.17
38900,19.17
39000,19.17
39100,19.19
39200,19.17
39300,19.17
39400,19.17
39500,19.17
39600,19.17
39700,19.17
39800,19.17
39900,19.17
40000,19.17
40100,19.17
40200,19.17
40300,19.17
40400,19.17
40500,19.17
40600,19.17
40700,19.17
40800,19.19
40900,19.17
41000,19.17
41100,19.17
41200,19.17
41300,19.17
41400,19.17
41500,19.17
41600,19.17
41700,19.17
41800,19.17
41900,19.17
42000,19.17
42100,19.19
42200,19.17
42300,19.17
42400,19.19
42500,19.17
42600,19.19
42700,19.19
42800,19.19
42900,19.19
43000,19.17
43100,19.17
43200,19.17
43300,19.17
43400,19.17
43500,19.17
43600,19.17
43700,19.17
43800,19.17
43900,19.17
44000,19.17
44100,19.17
44200,19.17
44300,19.17
44400,19.17
44500,19.17
44600,19.17
44700,19.17
44800,19.17
44900,19.17
45000,19.19
45100,19.17
45200,19.17
45300,19.17
45400,19.17
45500,19.17
45600,19.17
45700,19.17
45800,19.17
45900,19.17
46000,19.17
46100,19.17
46200,19.17
46300,19.17
46400,19.17
46500,19.17
46600,19.17
46700,19.17
46800,19.17
46900,19.17
47000,19.17
47100,19.17
47200,19.16
47300,19.17
47400,19.17
47500,19.17
47600,19.17
47700,19.17
47800,19.17
47900,19.17
48000,19.17
48100,19.17
48200,19.17
48300,19.17
48400,19.17
48500,19.17
48600,19.17
48700,19.17
48800,19.17
48900,19.17
49000,19.17
49100,19.17
49200,19.17
49300,19.17
49400,19.17
49500,19.17
49600,19.17
49700,19.17
49800,19.17
49900,19.17
50000,19.17
50100,19.17
50200,19.17
50300,19.17
50400,19.17
50500,19.17
50600,19.17
50700,19.19
50800,19.19
50900,19.17
51000,19.19
51100,19.17
51200,19.17
51300,19.17
51400,19.17
51500,19.17
51600,19.17
51700,19.17
51800,19.16
51900,19.17
52000,19.17
52100,19.17
52200,19.17
52300,19.17
52400,19.17
52500,19.17
52600,19.17
52700,19.17
52800,19.19
52900,19.17
53000,19.17
53100,19.17
53200,19.17
53300,19.17
53400,19.17
53500,19.17
53600,19.17
53700,19.17
53800,19.17
53900,19.17
54000,19.17
54100,19.17
54200,19.17
54300,19.17
54400,19.17
54500,19.17
54600,19.17
54700,19.17
54800,19.17
54900,19.17
55000,19.17
55100,19.17
55200,19.17
55300,19.17
55400,19.17
55500,19.19
55600,19.17
55700,19.17
55800,19.17
55900,19.17
56000,19.17
56100,19.17
56200,19.17
56300,19.17
56400,19.17
56500,19.17
56600,19.17
56700,19.17
56800,19.17
56900,19.17
57000,19.17
57100,19.17
57200,19.17
57300,19.17
57400,19.17
57500,19.17
57600,19.17
57700,19.17
57800,19.17
57900,19.17
58000,19.17
58100,19.17
58200,19.17
58300,19.17
58400,19.19
58500,19.17
58600,19.17
58700,19.17
58800,19.17
58900,19.17
59000,19.17
59100,19.17
59200,19.19
59300,19.17
59400,19.17
59500,19.19
59600,19.19
59700,19.17
59800,19.17
59900,19.17
60000,19.17
60100,19.17
60200,19.17
60300,19.17
60400,19.17
60500,19.17
60600,19.17
60700,19.17
60800,19.17
60900,19.17
61000,19.17
61100,19.17
61200,19.17
61300,19.17
61400,19.17
61500,19.17
61600,19.17
61700,19.17
61800,19.17
61900,19.19
62000,19.17
62100,19.17
62200,19.17
62300,19.17
62400,19.17
62500,19.17
62600,19.17
62700,19.17
62800,19.17
62900,19.17
63000,19.17
63100,19.17
63200,19.17
63300,19.17
63400,19.17
63500,19.17
63600,19.17
63700,19.17
63800,19.17
63900,19.17
64000,19.17
64100,19.17
64200,19.17
64300,19.16
64400,19.17
64500,19.17
64600,19.17
64700,19.17
64800,19.17
64900,19.17
65000,19.17
65100,19.17
65200,19.17
65300,19.17
65400,19.17
65500,19.17
65600,19.16
65700,19.17
65800,19.17
65900,19.17
66000,19.17
66100,19.17
66200,19.17
66300,19.17
66400,19.17
66500,19.17
66600,19.17
66700,19.17
66800,19.17
66900,19.17
67000,19.17
67100,19.17
67200,19.17
67300,19.17
67400,19.17
67500,19.17
67600,19.17
67700,19.17
67800,19.17
67900,19.17
68000,19.17
68100,19.17
68200,19.17
68300,19.17
68400,19.17
68500,19.17
68600,19.19
68700,19.17
68800,19.17
68900,19.17
69000,19.17
69100,19.17
69200,19.17
69300,19.17
69400,19.17
69500,19.16
69600,19.17
69700,19.17
69800,19.17
69900,19.16
70000,19.17
70100,19.17
70200,19.17
70300,19.17
70400,19.17
70500,19.17
70600,19.17
70700,19.19
70800,19.17
70900,19.19
71000,19.17
71100,19.17
71200,19.17
71300,19.17
71400,19.17
71500,19.17
71600,19.17
71700,19.19
71800,19.17
71900,19.17
72000,19.17
72100,19.17
72200,19.17
72300,19.17
72400,19.17
72500,19.17
72600,19.17
72700,19.16
72800,19.17
72900,19.17
73000,19.17
73100,19.17
73200,19.17
73300,19.17
73400,19.17
73500,19.17
73600,19.17
73700,19.16
73800,19.17
73900,19.17
74000,19.17
74100,19.17
74200,19.17
74300,19.17
74400,19.17
74500,19.17
74600,19.17
74700,19.17
74800,19.17
74900,19.17
75000,19.17
75100,19.17
75200,19.17
75300,19.17
75400,19.19
75500,19.17
75600,19.17
75700,19.19
75800,19.17
75900,19.17
76000,19.17
76100,19.17
76200,19.17
76300,19.17
76400,19.17
76500,19.17
76600,19.17
76700,19.17
76800,19.17
76900,19.17
77000,19.17
77100,19.17
77200,19.17
77300,19.17
77400,19.17
77500,19.17
77600,19.17
77700,19.17
77800,19.17
77900,19.17
78000,19.17
78100,19.17
78200,19.17
78300,19.17
78400,19.17
78500,19.17
78600,19.17
78700,19.17
78800,19.17
78900,19.17
79000,19.17
79100,19.17
79200,19.17
79300,19.17
79400,19.17
79500,19.19
79600,19.17
79700,19.17
79800,19.19
79900,19.17
80000,19.17
80100,19.17
80200,19.17
80300,19.17
80400,19.17
80500,19.17
80600,19.17
80700,19.17
80800,19.17
80900,19.17
81000,19.17
81100,19.17
81200,19.17
81300,19.17
81400,19.17
81500,19.17
81600,19.17
81700,19.19
81800,19.19
81900,19.17
82000,19.17
82100,19.17
82200,19.17
82300,19.17
82400,19.17
82500,19.17
82600,19.17
82700,19.17
82800,19.17
82900,19.17
83000,19.17
83100,19.17
83200,19.17
83300,19.17
83400,19.17
83500,19.17
83600,19.17
83700,19.17
83800,19.17
83900,19.17
84000,19.17
84100,19.17
84200,19.17
84300,19.17
84400,19.17
84500,19.17
84600,19.17
84700,19.17
84800,19.17
84900,19.17
85000,19.17
85100,19.17
85200,19.17
85300,19.17
85400,19.17
85500,19.17
85600,19.17
85700,19.17
85800,19.17
85900,19.17
86000,19.17
86100,19.17
86200,19.17
86300,19.17
86400,19.17
86500,19.17
86600,19.17
86700,19.17
86800,19.17
86900,19.17
87000,19.17
87100,19.17
87200,19.17
87300,19.17
87400,19.17
87500,19.17
